"work_year","experience_level","employment_type","job_title","salary_in_usd","company_size"
2021,"EX","FT","BI Data Analyst",150000,"L"
2021,"EX","FT","Head of Data",235000,"L"
2021,"SE","FT","Data Scientist",53192,"L"
2021,"MI","FT","BI Data Analyst",1e+05,"M"
2021,"MI","PT","3D Computer Vision Researcher",5409,"M"
2021,"MI","CT","ML Engineer",270000,"L"
2021,"EN","FT","Data Analyst",80000,"M"
2021,"SE","FT","Data Analytics Engineer",79197,"L"
2021,"MI","FT","Data Engineer",140000,"L"
2021,"MI","FT","Applied Data Scientist",54238,"L"
2021,"MI","FT","Machine Learning Engineer",47282,"S"
2021,"EX","FT","Director of Data Science",153667,"L"
2021,"MI","FT","Data Engineer",28476,"L"
2021,"EN","FT","Data Analyst",59102,"M"
2021,"MI","FT","Data Analytics Engineer",110000,"L"
2021,"SE","FT","Lead Data Analyst",170000,"L"
2021,"SE","FT","Data Analyst",80000,"S"
2021,"SE","FT","Marketing Data Analyst",88654,"L"
2021,"EN","FT","Data Science Consultant",76833,"S"
2021,"MI","FT","Lead Data Analyst",19609,"L"
2021,"SE","FT","Lead Data Engineer",276000,"L"
2021,"EN","FT","Data Scientist",29751,"L"
2021,"MI","FT","Cloud Data Engineer",89294,"L"
2021,"EN","PT","AI Scientist",12000,"S"
2021,"MI","FT","Financial Data Analyst",450000,"L"
2021,"EN","FT","Computer Vision Software Engineer",70000,"M"
2021,"MI","FT","Computer Vision Software Engineer",95746,"S"
2021,"MI","FT","Data Analyst",75000,"L"
2021,"SE","FT","Data Engineer",150000,"L"
2021,"MI","FT","BI Data Analyst",36259,"L"
2021,"MI","FT","Data Analyst",62000,"L"
2021,"MI","FT","Data Scientist",73000,"L"
2021,"MI","FT","Data Analyst",51519,"L"
2021,"MI","FT","Research Scientist",187442,"L"
2021,"SE","FT","Data Engineer",115000,"S"
2021,"SE","FT","Data Engineer",150000,"M"
2021,"EN","FT","Data Engineer",30428,"L"
2021,"SE","FT","Machine Learning Engineer",94564,"L"
2021,"SE","FT","Director of Data Engineering",113476,"M"
2021,"SE","FT","Lead Data Engineer",103160,"S"
2021,"EN","PT","AI Scientist",12000,"M"
2021,"MI","FT","Data Engineer",45391,"L"
2021,"EN","FT","Machine Learning Scientist",225000,"L"
2021,"MI","FT","Data Scientist",50000,"L"
2021,"MI","FT","Data Science Engineer",40189,"M"
2021,"EN","FT","Data Analyst",90000,"S"
2021,"MI","FT","Data Engineer",2e+05,"L"
2021,"MI","FT","Big Data Engineer",60000,"M"
2021,"SE","FT","Principal Data Engineer",2e+05,"M"
2021,"EN","FT","Data Analyst",50000,"M"
2021,"EN","FT","Applied Data Scientist",110037,"L"
2021,"EN","PT","Data Analyst",10354,"M"
2021,"MI","FT","Principal Data Scientist",151000,"L"
2021,"SE","FT","Machine Learning Scientist",120000,"S"
2021,"MI","FT","Data Scientist",9466,"S"
2021,"EN","FT","Machine Learning Engineer",20000,"S"
2021,"SE","FT","Lead Data Scientist",40570,"L"
2021,"EN","FT","Machine Learning Developer",1e+05,"S"
2021,"EN","FT","Data Scientist",49646,"M"
2021,"MI","FT","Applied Machine Learning Scientist",38400,"M"
2021,"SE","FT","Computer Vision Engineer",24000,"M"
2021,"EN","FT","Data Scientist",1e+05,"S"
2021,"MI","FT","Data Analyst",90000,"M"
2021,"MI","FT","ML Engineer",63711,"S"
2021,"MI","FT","ML Engineer",77364,"S"
2021,"SE","FT","Principal Data Scientist",220000,"L"
2021,"EN","FT","Data Scientist",80000,"M"
2021,"MI","FT","Data Analyst",135000,"L"
2021,"SE","FT","Data Science Manager",240000,"L"
2021,"SE","FT","Data Engineering Manager",150000,"L"
2021,"MI","FT","Data Scientist",82500,"S"
2021,"MI","FT","Data Engineer",1e+05,"L"
2021,"SE","FT","Machine Learning Engineer",82744,"M"
2021,"MI","FT","Research Scientist",62649,"M"
2021,"MI","FT","Data Engineer",90000,"L"
2021,"SE","FT","Data Engineering Manager",153000,"L"
2021,"SE","FT","Cloud Data Engineer",160000,"S"
2021,"SE","FT","Director of Data Science",168000,"S"
2021,"MI","FT","Data Scientist",150000,"M"
2021,"MI","FT","Data Scientist",75774,"L"
2021,"EN","FT","Data Scientist",13400,"L"
2021,"SE","FT","Data Science Manager",144000,"L"
2021,"SE","FT","Data Science Engineer",127221,"L"
2021,"MI","FT","Data Scientist",119059,"M"
2021,"MI","FT","Applied Machine Learning Scientist",423000,"L"
2021,"SE","FT","Data Analytics Manager",120000,"M"
2021,"EN","FT","Machine Learning Engineer",125000,"S"
2021,"EX","FT","Head of Data",230000,"L"
2021,"EX","FT","Head of Data Science",85000,"M"
2021,"MI","FT","Data Engineer",28369,"L"
2021,"EN","FT","Data Science Consultant",63831,"L"
2021,"EX","FT","Director of Data Science",130026,"M"
2021,"SE","FT","Data Specialist",165000,"L"
2021,"EN","FT","Data Engineer",80000,"L"
2021,"EX","FT","Director of Data Science",250000,"L"
2021,"EN","FT","BI Data Analyst",55000,"S"
2021,"MI","FT","Data Architect",150000,"L"
2021,"MI","FT","Data Architect",170000,"L"
2021,"MI","FT","Data Engineer",82528,"L"
2021,"EN","FT","Data Analyst",60000,"S"
2021,"SE","FT","Principal Data Scientist",235000,"L"
2021,"SE","FT","Research Scientist",60757,"L"
2021,"SE","FT","Data Engineering Manager",174000,"L"
2021,"MI","FT","Data Scientist",2859,"S"
2021,"MI","FT","Data Scientist",40038,"L"
2021,"EN","FT","Machine Learning Engineer",81000,"S"
2021,"MI","FT","Data Scientist",5679,"S"
2021,"MI","FT","Big Data Engineer",22611,"L"
2021,"MI","FT","Data Scientist",90734,"L"
2021,"MI","FT","Data Engineer",26005,"L"
2021,"SE","FT","Finance Data Analyst",61896,"L"
2021,"MI","FL","Machine Learning Scientist",12000,"M"
2021,"MI","FT","Data Engineer",4000,"M"
2021,"SE","FT","Data Analytics Engineer",50000,"M"
2021,"EX","FT","Data Science Consultant",69741,"S"
2021,"SE","FT","Data Engineer",76833,"S"
2021,"MI","FT","Machine Learning Engineer",74000,"S"
2021,"SE","FT","Data Science Manager",152000,"L"
2021,"EN","FT","Machine Learning Engineer",21844,"M"
2021,"MI","FT","Big Data Engineer",18000,"S"
2021,"SE","FT","Data Science Manager",174000,"L"
2021,"SE","FT","Research Scientist",96113,"L"
2021,"MI","FT","Data Scientist",147000,"L"
2021,"EN","FT","BI Data Analyst",9272,"S"
2021,"SE","FT","Machine Learning Engineer",24342,"L"
2021,"SE","FT","Data Science Manager",54094,"L"
2021,"EN","FT","Data Science Consultant",90000,"S"
2021,"MI","FT","Data Scientist",61467,"M"
2021,"SE","FT","Machine Learning Infrastructure Engineer",195000,"M"
2021,"MI","FT","Data Scientist",37825,"L"
2021,"SE","FT","Research Scientist",50000,"S"
2021,"MI","FT","Data Scientist",160000,"L"
2021,"MI","FT","Data Scientist",12901,"S"
2021,"SE","FT","Machine Learning Engineer",2e+05,"L"
2021,"SE","FT","Data Engineer",165000,"M"
2021,"MI","FL","Data Engineer",20000,"L"
2021,"SE","FT","Data Analytics Manager",120000,"L"
2021,"MI","FT","Machine Learning Engineer",24823,"L"
2021,"MI","FT","Research Scientist",56738,"S"
2021,"MI","FT","Data Engineer",66022,"S"
2021,"EN","FT","Big Data Engineer",5882,"L"
2021,"EN","FT","Machine Learning Engineer",24823,"M"
2021,"SE","FT","Principal Data Engineer",185000,"L"
2021,"EN","PT","Computer Vision Engineer",28609,"S"
2021,"MI","FT","Data Scientist",90734,"L"
2021,"MI","FT","Machine Learning Engineer",88654,"M"
2021,"SE","FT","Data Analytics Manager",140000,"L"
2021,"MI","FT","Machine Learning Engineer",46597,"L"
2021,"MI","FT","Data Scientist",116914,"L"
2021,"MI","FT","Data Scientist",33808,"M"
2021,"MI","FT","Data Scientist",56256,"L"
2021,"SE","FT","Machine Learning Scientist",225000,"L"
2021,"EX","CT","Principal Data Scientist",416000,"S"
2021,"SE","FT","Data Scientist",87738,"S"
2021,"MI","FT","Data Scientist",88654,"L"
2021,"SE","FT","Data Scientist",135000,"L"
2021,"SE","FT","Data Analyst",71786,"M"
2021,"EN","FT","Big Data Engineer",16228,"L"
2021,"SE","FT","ML Engineer",256000,"S"
2021,"SE","FT","Director of Data Engineering",2e+05,"L"
2021,"SE","FT","Data Analyst",2e+05,"L"
2021,"MI","FT","Data Architect",180000,"L"
2021,"MI","FT","Head of Data Science",110000,"S"
2021,"MI","FT","Research Scientist",63810,"M"
2021,"MI","FT","Data Scientist",46809,"M"
2021,"EN","FT","Data Scientist",4000,"M"
2021,"EN","FT","Data Engineer",21637,"M"
2021,"SE","FT","Data Scientist",103691,"L"
2021,"MI","FT","Data Analyst",80000,"L"
2021,"MI","FT","Data Engineer",110000,"L"
2021,"SE","FT","Data Scientist",165000,"L"
2021,"EN","FT","AI Scientist",18053,"S"
2021,"MI","FT","Data Engineer",72212,"L"
2021,"EN","FT","Data Scientist",36643,"L"
2021,"MI","FT","Data Engineer",12103,"M"
2021,"SE","FT","Data Engineer",96282,"L"
2021,"SE","FT","Principal Data Analyst",170000,"M"
2021,"MI","FT","Data Scientist",115000,"L"
2021,"EN","FT","Data Scientist",90000,"S"
2021,"EX","FT","Principal Data Engineer",6e+05,"L"
2021,"EN","FT","Data Scientist",28399,"M"
2021,"MI","FT","Data Analyst",93000,"L"
2021,"SE","FT","Big Data Architect",99703,"M"
2021,"MI","FT","Data Engineer",2e+05,"L"
2021,"SE","FT","Principal Data Scientist",173762,"M"
2021,"SE","FT","Machine Learning Engineer",185000,"L"
2021,"EX","FT","Director of Data Science",141846,"L"
2021,"MI","FT","Data Scientist",130000,"L"
2021,"SE","FT","Data Analyst",63831,"L"
2021,"MI","FT","Data Scientist",16904,"S"
2021,"SE","FT","Machine Learning Engineer",66265,"L"
2021,"MI","FT","Data Scientist",25532,"S"
2021,"SE","FT","Lead Data Engineer",160000,"S"
2021,"MI","FT","Data Engineer",93150,"M"
2021,"MI","FT","Data Engineer",111775,"M"
2021,"MI","FT","Data Engineer",28016,"M"
2021,"EN","FT","Data Engineer",65013,"M"
2021,"EN","FT","Data Engineer",72500,"L"
2021,"SE","FT","Computer Vision Engineer",18907,"M"
2021,"EN","FT","Data Science Consultant",76833,"L"
2021,"EN","FT","Machine Learning Engineer",85000,"S"
2021,"SE","FT","Data Scientist",77684,"M"
2021,"EN","FT","Data Scientist",1e+05,"M"
2021,"EN","FT","Data Scientist",58000,"L"
2021,"SE","FT","AI Scientist",55000,"L"
2021,"SE","FT","Data Scientist",20171,"L"
2021,"EN","FT","Business Data Analyst",59102,"L"
2021,"MI","FT","Data Engineer",112000,"L"
2021,"EN","FT","Research Scientist",1e+05,"L"
2021,"MI","PT","Data Engineer",69741,"L"
2021,"SE","CT","Staff Data Scientist",105000,"M"
2021,"MI","FT","Research Scientist",69999,"L"
2021,"SE","FT","Data Science Manager",94665,"L"
2021,"SE","FT","Head of Data",102839,"L"
2021,"MI","FT","Data Scientist",109000,"L"
2021,"MI","FT","Machine Learning Engineer",51064,"L"
2022,"SE","FT","Data Engineer",135000,"M"
2022,"SE","FT","Data Analyst",155000,"M"
2022,"SE","FT","Data Analyst",120600,"M"
2022,"MI","FT","Data Scientist",130000,"M"
2022,"MI","FT","Data Scientist",90000,"M"
2022,"MI","FT","Data Engineer",170000,"M"
2022,"MI","FT","Data Engineer",150000,"M"
2022,"SE","FT","Data Analyst",102100,"M"
2022,"SE","FT","Data Analyst",84900,"M"
2022,"SE","FT","Data Scientist",136620,"M"
2022,"SE","FT","Data Scientist",99360,"M"
2022,"SE","FT","Data Scientist",117789,"M"
2022,"SE","FT","Data Scientist",104702,"M"
2022,"SE","FT","Data Scientist",146000,"M"
2022,"SE","FT","Data Scientist",123000,"M"
2022,"EN","FT","Data Engineer",52351,"M"
2022,"SE","FT","Data Analyst",99000,"M"
2022,"SE","FT","Data Analyst",116000,"M"
2022,"MI","FT","Data Analyst",106260,"M"
2022,"MI","FT","Data Analyst",126500,"M"
2022,"EX","FT","Data Engineer",242000,"M"
2022,"EX","FT","Data Engineer",2e+05,"M"
2022,"MI","FT","Data Scientist",65438,"M"
2022,"MI","FT","Data Scientist",39263,"M"
2022,"MI","FT","Data Engineer",78526,"M"
2022,"MI","FT","Data Engineer",52351,"M"
2022,"SE","FT","Data Scientist",165220,"M"
2022,"EN","FT","Data Engineer",45807,"M"
2022,"SE","FT","Data Scientist",120160,"M"
2022,"SE","FT","Data Analyst",90320,"M"
2022,"SE","FT","Data Engineer",181940,"M"
2022,"SE","FT","Data Engineer",132320,"M"
2022,"SE","FT","Data Engineer",220110,"M"
2022,"SE","FT","Data Engineer",160080,"M"
2022,"SE","FT","Data Scientist",180000,"L"
2022,"SE","FT","Data Scientist",120000,"L"
2022,"SE","FT","Data Analyst",124190,"M"
2022,"EX","FT","Data Analyst",130000,"M"
2022,"EX","FT","Data Analyst",110000,"M"
2022,"SE","FT","Data Analyst",170000,"M"
2022,"MI","FT","Data Analyst",115500,"M"
2022,"SE","FT","Data Analyst",112900,"M"
2022,"SE","FT","Data Analyst",90320,"M"
2022,"SE","FT","Data Analyst",112900,"M"
2022,"SE","FT","Data Analyst",90320,"M"
2022,"SE","FT","Data Engineer",165400,"M"
2022,"SE","FT","Data Engineer",132320,"M"
2022,"MI","FT","Data Analyst",167000,"M"
2022,"SE","FT","Data Engineer",243900,"M"
2022,"SE","FT","Data Analyst",136600,"M"
2022,"SE","FT","Data Analyst",109280,"M"
2022,"SE","FT","Data Engineer",128875,"M"
2022,"SE","FT","Data Engineer",93700,"M"
2022,"EX","FT","Head of Data Science",224000,"M"
2022,"EX","FT","Head of Data Science",167875,"M"
2022,"EX","FT","Analytics Engineer",175000,"M"
2022,"SE","FT","Data Engineer",156600,"M"
2022,"SE","FT","Data Engineer",108800,"M"
2022,"SE","FT","Data Scientist",95550,"M"
2022,"SE","FT","Data Engineer",113000,"L"
2022,"SE","FT","Data Analyst",135000,"M"
2022,"SE","FT","Data Science Manager",161342,"M"
2022,"SE","FT","Data Science Manager",137141,"M"
2022,"SE","FT","Data Scientist",167000,"M"
2022,"SE","FT","Data Scientist",123000,"M"
2022,"SE","FT","Data Engineer",78526,"M"
2022,"SE","FT","Data Engineer",65438,"M"
2022,"SE","FT","Data Scientist",150000,"M"
2022,"SE","FT","Data Scientist",211500,"M"
2022,"SE","FT","Data Architect",192400,"M"
2022,"SE","FT","Data Architect",90700,"M"
2022,"SE","FT","Data Analyst",130000,"M"
2022,"SE","FT","Data Analyst",61300,"M"
2022,"SE","FT","Data Analyst",130000,"M"
2022,"SE","FT","Data Analyst",61300,"M"
2022,"SE","FT","Data Engineer",160000,"L"
2022,"SE","FT","Data Scientist",138600,"M"
2022,"SE","FT","Data Engineer",136000,"M"
2022,"MI","FT","Data Analyst",58000,"S"
2022,"EX","FT","Analytics Engineer",135000,"M"
2022,"SE","FT","Data Scientist",170000,"M"
2022,"SE","FT","Data Scientist",123000,"M"
2022,"SE","FT","Machine Learning Engineer",189650,"M"
2022,"SE","FT","Machine Learning Engineer",164996,"M"
2022,"MI","FT","ETL Developer",54957,"M"
2022,"MI","FT","ETL Developer",54957,"M"
2022,"EX","FT","Lead Data Engineer",118187,"S"
2022,"SE","FT","Data Analyst",132000,"M"
2022,"SE","FT","Data Engineer",165400,"M"
2022,"SE","FT","Data Architect",208775,"M"
2022,"SE","FT","Data Architect",147800,"M"
2022,"SE","FT","Data Engineer",136994,"M"
2022,"SE","FT","Data Engineer",101570,"M"
2022,"SE","FT","Data Analyst",128875,"M"
2022,"SE","FT","Data Analyst",93700,"M"
2022,"EX","FT","Head of Machine Learning",79039,"L"
2022,"SE","FT","Data Engineer",132320,"M"
2022,"EN","FT","Machine Learning Engineer",37300,"L"
2022,"SE","FT","Data Analyst",164000,"M"
2022,"SE","FT","Data Engineer",155000,"M"
2022,"MI","FT","Machine Learning Engineer",124333,"M"
2022,"MI","FT","Machine Learning Engineer",98158,"M"
2022,"MI","FT","AI Scientist",120000,"M"
2022,"SE","FT","Data Analyst",112900,"M"
2022,"SE","FT","Data Analyst",90320,"M"
2022,"SE","FT","Data Analytics Manager",145000,"M"
2022,"SE","FT","Data Analytics Manager",105400,"M"
2022,"MI","FT","Machine Learning Engineer",87932,"M"
2022,"MI","FT","Data Engineer",117789,"M"
2022,"SE","FT","Data Scientist",215300,"L"
2022,"SE","FT","Data Scientist",158200,"L"
2022,"SE","FT","Data Engineer",209100,"L"
2022,"SE","FT","Data Engineer",154600,"L"
2022,"SE","FT","Data Analyst",115934,"M"
2022,"SE","FT","Data Analyst",81666,"M"
2022,"SE","FT","Data Engineer",175000,"M"
2022,"MI","FT","Data Engineer",98158,"M"
2022,"MI","FT","Data Analyst",58000,"S"
2022,"SE","FT","Data Engineer",183600,"L"
2022,"MI","FT","Data Analyst",52351,"M"
2022,"SE","FT","Data Scientist",180000,"M"
2022,"MI","FT","Data Scientist",71982,"M"
2022,"MI","FT","Data Scientist",45807,"M"
2022,"MI","FT","Data Engineer",65949,"M"
2022,"MI","FT","Data Engineer",49461,"M"
2022,"MI","FT","Data Engineer",78526,"M"
2022,"MI","FT","Data Engineer",58894,"M"
2022,"SE","FT","Data Scientist",260000,"M"
2022,"SE","FT","Data Science Engineer",60000,"L"
2022,"MI","FT","Data Engineer",63900,"M"
2022,"MI","FT","Machine Learning Scientist",160000,"L"
2022,"MI","FT","Machine Learning Scientist",112300,"L"
2022,"MI","FT","Data Science Manager",241000,"M"
2022,"MI","FT","Data Science Manager",159000,"M"
2022,"SE","FT","Data Scientist",180000,"M"
2022,"SE","FT","Data Scientist",80000,"M"
2022,"MI","FT","Data Engineer",82900,"M"
2022,"SE","FT","Data Engineer",100800,"L"
2022,"MI","FT","Data Engineer",49461,"M"
2022,"SE","FT","Data Scientist",140400,"L"
2022,"MI","FT","Data Analyst",39263,"M"
2022,"MI","FT","Data Analyst",43966,"M"
2022,"MI","FT","Data Analyst",32974,"M"
2022,"MI","FT","Data Engineer",87932,"M"
2022,"MI","FT","Data Engineer",76940,"M"
2022,"MI","FT","Data Engineer",104702,"M"
2022,"MI","FT","Data Engineer",91614,"M"
2022,"MI","FT","Data Engineer",65949,"M"
2022,"MI","FT","Data Engineer",87932,"M"
2022,"SE","FT","Machine Learning Engineer",189650,"M"
2022,"SE","FT","Machine Learning Engineer",164996,"M"
2022,"MI","FT","Data Analyst",43966,"M"
2022,"MI","FT","Data Analyst",32974,"M"
2022,"MI","FT","Data Engineer",98158,"M"
2022,"MI","FT","Data Engineer",78526,"M"
2022,"SE","FT","Data Scientist",215300,"L"
2022,"MI","FT","Data Engineer",76940,"M"
2022,"SE","FT","Data Engineer",209100,"L"
2022,"SE","FT","Data Engineer",154600,"L"
2022,"SE","FT","Data Engineer",180000,"M"
2022,"EN","FT","ML Engineer",21983,"L"
2022,"SE","FT","Data Engineer",80000,"M"
2022,"MI","FT","Machine Learning Developer",78791,"M"
2022,"EX","FT","Director of Data Science",196979,"L"
2022,"MI","FT","Machine Learning Engineer",120000,"S"
2022,"EN","FT","Computer Vision Engineer",125000,"M"
2022,"MI","FT","NLP Engineer",37236,"L"
2022,"SE","FT","Data Engineer",105000,"M"
2022,"SE","FT","Lead Machine Learning Engineer",87932,"M"
2022,"MI","FT","Business Data Analyst",18442,"M"
2022,"MI","FT","Data Scientist",31615,"L"
2022,"MI","FT","Machine Learning Infrastructure Engineer",58255,"L"
2022,"EN","FT","Financial Data Analyst",1e+05,"L"
2022,"MI","PT","Data Engineer",54957,"L"
2022,"EN","FT","Data Scientist",18442,"M"
2022,"SE","FT","Principal Data Scientist",162674,"M"
2022,"EN","FT","Data Engineer",120000,"M"
2022,"SE","FT","Research Scientist",144000,"L"
2022,"SE","FT","Data Scientist",104890,"M"
2022,"SE","FT","Data Engineer",1e+05,"M"
2022,"SE","FT","Data Scientist",140000,"M"
2022,"MI","FT","Data Analyst",135000,"M"
2022,"MI","FT","Data Analyst",50000,"M"
2022,"SE","FT","Data Scientist",220000,"M"
2022,"SE","FT","Data Scientist",140000,"M"
2022,"MI","FT","Data Scientist",183228,"M"
2022,"MI","FT","Data Scientist",91614,"M"
2022,"SE","FT","Data Scientist",185100,"M"
2022,"SE","FT","Machine Learning Engineer",220000,"M"
2022,"MI","FT","Data Scientist",2e+05,"M"
2022,"MI","FT","Data Scientist",120000,"M"
2022,"SE","FT","Machine Learning Engineer",120000,"S"
2022,"SE","FT","Machine Learning Engineer",65000,"S"
2022,"EX","FT","Data Engineer",324000,"M"
2022,"EX","FT","Data Engineer",216000,"M"
2022,"SE","FT","Data Engineer",210000,"M"
2022,"SE","FT","Machine Learning Engineer",120000,"M"
2022,"SE","FT","Data Scientist",230000,"M"
2022,"EN","PT","Data Scientist",1e+05,"M"
2022,"MI","FL","Data Scientist",1e+05,"M"
2022,"EN","CT","Applied Machine Learning Scientist",31875,"M"
2022,"SE","FT","Head of Data",2e+05,"M"
2022,"MI","FT","Principal Data Analyst",75000,"S"
2022,"MI","FT","Data Scientist",35590,"L"
2022,"SE","FT","Machine Learning Developer",78791,"M"
2022,"SE","FT","Data Scientist",1e+05,"M"
2022,"MI","FT","Machine Learning Scientist",153000,"M"
2022,"EN","FT","Data Engineer",58035,"M"
2022,"SE","FT","Data Scientist",165000,"M"
2022,"SE","FT","Research Scientist",93427,"L"
2022,"EN","FT","Data Scientist",52396,"L"
2022,"SE","FT","Machine Learning Engineer",62651,"L"
2022,"MI","FT","Head of Data",32974,"S"
2022,"EN","FT","Data Scientist",40000,"L"
2022,"MI","FT","Machine Learning Engineer",87425,"L"
2022,"SE","FT","Data Engineer",115000,"M"
2022,"EN","FT","Data Scientist",86703,"M"
2022,"MI","FT","Applied Machine Learning Scientist",75000,"L"
2022,"MI","FT","Research Scientist",64849,"L"
2022,"EN","FT","Research Scientist",120000,"L"
2022,"MI","FT","Applied Data Scientist",157000,"L"
2022,"EN","FT","Computer Vision Software Engineer",150000,"S"
2022,"MI","FT","Business Data Analyst",70912,"L"
2022,"EN","FT","Data Engineer",65000,"S"
2022,"SE","FT","Machine Learning Engineer",71444,"S"
2022,"EN","FT","Data Analytics Engineer",20000,"M"
2022,"MI","FT","Data Scientist",48000,"S"
2022,"SE","FT","Data Science Manager",152500,"M"
2022,"MI","FT","Data Engineer",68147,"M"
2022,"MI","FT","Data Scientist",122346,"L"
2022,"SE","FT","Applied Data Scientist",380000,"L"
2022,"MI","FT","Data Scientist",69336,"M"
2022,"EN","FT","Computer Vision Engineer",10000,"M"
2022,"MI","FT","Data Analyst",20000,"S"
2022,"SE","FT","Data Analytics Lead",405000,"L"
2022,"MI","FT","Data Scientist",135000,"L"
2022,"SE","FT","Applied Data Scientist",177000,"L"
2022,"MI","FT","Data Scientist",78000,"M"
2022,"SE","FT","Data Analyst",135000,"M"
2022,"SE","FT","Data Analyst",1e+05,"M"
2022,"SE","FT","Data Analyst",90320,"M"
2022,"MI","FT","Data Analyst",85000,"M"
2022,"MI","FT","Data Analyst",75000,"M"
2022,"SE","FT","Machine Learning Engineer",214000,"M"
2022,"SE","FT","Machine Learning Engineer",192600,"M"
2022,"SE","FT","Data Architect",266400,"M"
2022,"SE","FT","Data Architect",213120,"M"
2022,"SE","FT","Data Analyst",112900,"M"
2022,"SE","FT","Data Engineer",155000,"M"
2022,"MI","FT","Data Scientist",141300,"M"
2022,"MI","FT","Data Scientist",102100,"M"
2022,"SE","FT","Data Analyst",115934,"M"
2022,"SE","FT","Data Analyst",81666,"M"
2022,"MI","FT","Data Engineer",206699,"M"
2022,"MI","FT","Data Engineer",99100,"M"
2022,"SE","FT","Data Engineer",130000,"M"
2022,"SE","FT","Data Engineer",115000,"M"
2022,"SE","FT","Data Engineer",110500,"M"
2022,"SE","FT","Data Engineer",130000,"M"
2022,"SE","FT","Data Analyst",99050,"M"
2022,"SE","FT","Data Engineer",160000,"M"
2022,"SE","FT","Data Scientist",205300,"L"
2022,"SE","FT","Data Scientist",140400,"L"
2022,"SE","FT","Data Scientist",176000,"M"
2022,"SE","FT","Data Scientist",144000,"M"
2022,"SE","FT","Data Engineer",200100,"M"
